2026-04-26 15:58:37:5837 info: server is running on port 5000
2026-04-26 15:58:38:5838 http: OPTIONS /api/auth/refresh 204 0 - 1.666 ms
2026-04-26 15:58:38:5838 http: OPTIONS /api/auth/refresh 204 0 - 0.162 ms
2026-04-26 15:58:38:5838 http: POST /api/auth/refresh 200 999 - 136.501 ms
2026-04-26 15:58:38:5838 http: POST /api/auth/refresh 200 999 - 83.299 ms
2026-04-26 15:58:53:5853 http: OPTIONS /api/auth/refresh 204 0 - 0.726 ms
2026-04-26 15:58:53:5853 http: OPTIONS /api/auth/refresh 204 0 - 0.195 ms
2026-04-26 15:58:53:5853 http: POST /api/auth/refresh 200 981 - 99.562 ms
2026-04-26 15:58:53:5853 http: POST /api/auth/refresh 200 981 - 101.861 ms
2026-04-26 15:59:02:592 http: OPTIONS /api/auth/refresh 204 0 - 0.272 ms
2026-04-26 15:59:02:592 http: OPTIONS /api/auth/refresh 204 0 - 0.239 ms
2026-04-26 15:59:02:592 http: POST /api/auth/refresh 401 390 - 24.734 ms
2026-04-26 15:59:02:592 http: POST /api/auth/refresh 401 390 - 27.694 ms
2026-04-26 15:59:02:592 http: POST /api/auth/refresh 401 390 - 13.691 ms
2026-04-26 15:59:02:592 http: POST /api/auth/refresh 401 390 - 14.927 ms
2026-04-26 15:59:06:596 http: POST /api/auth/refresh 401 390 - 9.222 ms
2026-04-26 15:59:06:596 http: POST /api/auth/refresh 401 390 - 9.246 ms
2026-04-26 15:59:06:596 http: POST /api/auth/refresh 401 390 - 10.079 ms
2026-04-26 15:59:06:596 http: POST /api/auth/refresh 401 390 - 68.482 ms
2026-04-26 15:59:38:5938 http: OPTIONS /api/auth/login 204 0 - 0.169 ms
2026-04-26 15:59:38:5938 http: POST /api/auth/login 200 621 - 132.115 ms
2026-04-26 15:59:43:5943 http: OPTIONS /api/tasks/assigned 204 0 - 0.228 ms
2026-04-26 15:59:43:5943 http: GET /api/tasks/assigned 200 2181 - 75.620 ms
2026-04-26 15:59:43:5943 http: GET /api/tasks/assigned 304 - - 51.080 ms
2026-04-26 16:00:35:035 http: OPTIONS /api/auth/login 204 0 - 0.170 ms
2026-04-26 16:00:35:035 http: POST /api/auth/login 200 1202 - 95.646 ms
2026-04-26 16:15:56:1556 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 4.605 ms
2026-04-26 16:15:56:1556 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.063 ms
2026-04-26 16:15:56:1556 http: GET /api/projects?page=1&limit=10&search= 401 54 - 14.151 ms
2026-04-26 16:15:56:1556 http: GET /api/projects?page=1&limit=10&search= 401 54 - 1.002 ms
2026-04-26 16:15:56:1556 http: OPTIONS /api/auth/refresh 204 0 - 0.325 ms
2026-04-26 16:15:56:1556 http: OPTIONS /api/auth/refresh 204 0 - 0.122 ms
2026-04-26 16:15:56:1556 http: POST /api/auth/refresh 200 999 - 81.778 ms
2026-04-26 16:15:56:1556 http: POST /api/auth/refresh 200 999 - 62.735 ms
2026-04-26 16:15:56:1556 http: GET /api/projects?page=1&limit=10&search= 200 776 - 83.566 ms
2026-04-26 16:15:56:1556 http: GET /api/projects?page=1&limit=10&search= 304 - - 14.101 ms
2026-04-26 16:15:57:1557 http: OPTIONS /api/sprints 204 0 - 0.108 ms
